% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0122143	1	0	0	1.24396e-13	262.249	0
0.0122143	1	0	0	1.98543e-13	418.565	0
0.0122143	1	0	0	1.67341e-13	352.786	0
0.0122143	1	0	0	1.4155e-13	298.414	0
0.0122143	1	0	0	1.90098e-13	400.761	0
0.0122143	1	0	0	1.86272e-13	392.695	0
0.0132143	1	0	0	1.47844e-13	311.683	0
0.0132143	1	0	0	3.89107e-13	820.31	0
0.0132143	1	0	0	1.709e-13	360.288	0
0.0132143	1	0	0	9.52608e-13	2008.27	0
0.0132143	1	0	0	1.42508e-13	300.434	0
0.0132143	1	0	0	1.61705e-11	34090.4	0
0.0132143	1	0	0	5.0519e-13	1065.03	0
0.0132143	1	0	0	1.87115e-13	394.474	0
0.0132143	1	0	0	1.67179e-13	352.444	0
0.0132143	1	0	0	4.90928e-13	1034.97	0
0.0132143	1	0	0	1.42548e-13	300.518	0
0.0132143	1	0	0	1.1879e-13	250.43	0
0.0132143	1	0	0	2.11553e-09	4.45992e+06	0
0.0132143	1	0	0	2.91295e-13	614.104	0
0.0132143	1	0	0	1.18829e-13	250.513	0
0.0132143	1	0	0	1.24396e-13	262.249	0
0.0132143	1	0	0	1.98542e-13	418.562	0
0.0132143	1	0	0	1.67341e-13	352.786	0
0.0132143	1	0	0	1.41551e-13	298.416	0
0.0132143	1	0	0	1.90098e-13	400.762	0
0.0132143	1	0	0	1.86271e-13	392.693	0
0.0142143	1	0	0	1.47845e-13	311.684	0
0.0142143	1	0	0	3.89107e-13	820.309	0
0.0142143	1	0	0	1.709e-13	360.288	0
0.0142143	1	0	0	9.52617e-13	2008.29	0
0.0142143	1	0	0	1.42509e-13	300.436	0
0.0142143	1	0	0	1.61701e-11	34089.5	0
0.0142143	1	0	0	5.05195e-13	1065.05	0
0.0142143	1	0	0	1.87116e-13	394.475	0
0.0142143	1	0	0	1.6718e-13	352.447	0
0.0142143	1	0	0	4.90933e-13	1034.98	0
0.0142143	1	0	0	1.42547e-13	300.515	0
0.0142143	1	0	0	1.18789e-13	250.429	0
0.0142143	1	0	0	2.11701e-09	4.46306e+06	0
0.0142143	1	0	0	2.91298e-13	614.11	0
0.0142143	1	0	0	1.18829e-13	250.513	0
0.0142143	1	0	0	1.24395e-13	262.248	0
0.0142143	1	0	0	1.9854e-13	418.559	0
0.0142143	1	0	0	1.67341e-13	352.787	0
0.0142143	1	0	0	1.41552e-13	298.418	0
0.0142143	1	0	0	1.90098e-13	400.763	0
0.0142143	1	0	0	1.8627e-13	392.692	0
0.0152143	1	0	0	1.47845e-13	311.685	0
0.0152143	1	0	0	3.89106e-13	820.308	0
0.0152143	1	0	0	1.709e-13	360.288	0
0.0152143	1	0	0	9.52626e-13	2008.31	0
0.0152143	1	0	0	1.4251e-13	300.437	0
0.0152143	1	0	0	1.61697e-11	34088.6	0
0.0152143	1	0	0	5.05201e-13	1065.06	0
0.0152143	1	0	0	1.87117e-13	394.476	0
0.0152143	1	0	0	1.67182e-13	352.45	0
0.0152143	1	0	0	4.90938e-13	1034.99	0
0.0152143	1	0	0	1.42546e-13	300.513	0
0.0152143	1	0	0	1.18788e-13	250.428	0
0.0152143	1	0	0	2.1185e-09	4.46619e+06	0
0.0152143	1	0	0	2.91301e-13	614.116	0
0.0152143	1	0	0	1.18829e-13	250.513	0
0.0152143	1	0	0	1.24395e-13	262.248	0
0.0152143	1	0	0	1.98539e-13	418.556	0
0.0152143	1	0	0	1.67342e-13	352.787	0
0.0152143	1	0	0	1.41553e-13	298.42	0
0.0152143	1	0	0	1.90099e-13	400.764	0
0.0152143	1	0	0	1.86269e-13	392.69	0
0.0162143	1	0	0	1.47846e-13	311.686	0
0.0162143	1	0	0	3.89106e-13	820.307	0
0.0162143	1	0	0	1.709e-13	360.289	0
0.0162143	1	0	0	9.52636e-13	2008.33	0
0.0162143	1	0	0	1.42511e-13	300.439	0
0.0162143	1	0	0	1.61693e-11	34087.8	0
0.0162143	1	0	0	5.05207e-13	1065.07	0
0.0162143	1	0	0	1.87117e-13	394.478	0
0.0162143	1	0	0	1.67183e-13	352.452	0
0.0162143	1	0	0	4.90942e-13	1035	0
0.0162143	1	0	0	1.42545e-13	300.51	0
0.0162143	1	0	0	1.18788e-13	250.426	0
0.0162143	1	0	0	2.11999e-09	4.46934e+06	0
0.0162143	1	0	0	2.91304e-13	614.122	0
0.0162143	1	0	0	1.18829e-13	250.513	0
0.0162143	1	0	0	1.24395e-13	262.247	0
0.0162143	1	0	0	1.98537e-13	418.554	0
0.0162143	1	0	0	1.67342e-13	352.787	0
0.0162143	1	0	0	1.41554e-13	298.421	0
0.0162143	1	0	0	1.90099e-13	400.765	0
0.0162143	1	0	0	1.86268e-13	392.688	0
0.0172143	1	0	0	1.47846e-13	311.687	0
0.0172143	1	0	0	3.89105e-13	820.306	0
